g,p,rtgs
หน้ายิ้ม,nA-3 jim4,nayim
หน้ายุ่ง,nA-3 juN3,nayung
หน้าระรื่น,nA-3 ra?4 rVn3,nararuen
หน้ารับแขก,nA-3 rap4 KYk2,narapkhaek
หน้าราหู,nA-3 rA-1 hU-5,narahu
หน้าร้อน,nA-3 rXn4,naron
หน้าวอก,nA-3 wXk3,nawok
หน้าวัว,nA-3 wR-1,nawua
หน้าสลด,nA-3 sa-1 lot2,nasalot
หน้าสลอน,nA-3 sa-1 lXn5,nasalon
หน้าสว่าง,nA-3 sa-1 wAN2,nasawang
หน้าสิ่วหน้าขวาน,nA-3 siw2 nA-3 KwAn5,nasionakhwan
หน้าหงาย,nA-3 NAj5,nangai
หน้าหงิก,nA-3 Nik2,nangik
หน้าหนา,nA-3 nA-5,nana
หน้าหนาว,nA-3 nAw5,nanao
หน้าหนึ่ง,nA-3 nvN2,nanueng
หน้าหวาน,nA-3 wAn5,nawan
หน้าหัก,nA-3 hak2,nahak
หน้าอก,nA-3 ?ok2,naok
หน้าอัด,nA-3 ?at2,naat
หน้าอินทร์หน้าพรหม,nA-3 ?in1 nA-3 Prom1,nainnaphrom
หน้าอ่อน,nA-3 ?Xn2,naon
หน้าเก่า,nA-3 kaw2,nakao
หน้าเก้อ,nA-3 kZ-3,nakoe
หน้าเขียง,nA-3 KJN5,nakhiang
หน้าเขียว,nA-3 KJw5,nakhiao
หน้าเข้ม,nA-3 Kem3,nakhem
หน้าเจื่อน,nA-3 cWn2,nachuean
หน้าเฉย,nA-3 CZj5,nachoei
หน้าเฉยตาเฉย,nA-3 CZj5 tA-1 CZj5,nachoeitachoei
หน้าเชิด,nA-3 CZt3,nachoet
หน้าเซียว,nA-3 sJw1,nasiao
หน้าเซ่อ,nA-3 sZ-3,nasoe
หน้าเดิม,nA-3 dZm1,nadoem
หน้าเตา,nA-3 taw1,natao
หน้าเบ้,nA-3 be?3,nabe
หน้าเปิด,nA-3 pZt2,napoet
หน้าเป็น,nA-3 pen1,napen
หน้าเผือด,nA-3 PWt2,naphueat
หน้าเริด,nA-3 rZt3,naroet
หน้าเลือด,nA-3 lWt3,nalueat
หน้าเศร้า,nA-3 saw3,nasao
หน้าเสีย,nA-3 sJ-5,nasia
หน้าเสี้ยว,nA-3 sJw3,nasiao
หน้าเหี่ยว,nA-3 hJw2,nahiao
หน้าเหี้ยม,nA-3 hJm3,nahiam
หน้าแก่,nA-3 kY-2,nakae
หน้าแข้ง,nA-3 KYN3,nakhaeng
หน้าแง,nA-3 NY-1,nangae
หน้าแดง,nA-3 dYN1,nadaeng
หน้าแตก,nA-3 tYk2,nataek
หน้าแล้ง,nA-3 lYN4,nalaeng
หน้าแว่น,nA-3 wYn3,nawaen
หน้าแหก,nA-3 hYk2,nahaek
หน้าแหง,nA-3 NY-5,nangae
หน้าโฉนด,nA-3 Ca-2 nOt2,nachanot
หน้าโลหิต,nA-3 lO-1 hit2,nalohit
หน้าใหญ่,nA-3 jaj2,nayai
หน้าใหญ่ใจโต,nA-3 jaj2 caj1 tO-1,nayaichaito
หน้าใหม่,nA-3 maj2,namai
หน้าไฟ,nA-3 faj1,nafai
หน้าไม้,nA-3 mAj4,namai
หน้าไหว้หลังหลอก,nA-3 waj3 laN5 lXk2,nawailanglok
หมกมุ่น,mok2 mun3,mokmun
หมกหมุ่น,mok2 mun2,mokmun
หมกเม็ด,mok2 met4,mokmet
หมกไหม้,mok2 maj3,mokmai
หมดกรรม,mot2 kam1,motkam
หมดกระเป๋า,mot2 kra-1 paw5,motkrapao
หมดกะจิตกะใจ,mot2 ka-2 cit2 ka-2 caj1,motkachitkachai
หมดกัน,mot2 kan1,motkan
หมดกำลัง,mot2 kam1 laN1,motkamlang
หมดกำลังใจ,mot2 kam1 laN1 caj1,motkamlangchai
หมดความรู้สึก,mot2 KwAm1 rU-4 svk2,motkhwamrusuek
หมดค่า,mot2 KA-3,motkha
หมดจด,mot2 cot2,motchot
หมดจิตหมดใจ,mot2 cit2 mot2 caj1,motchitmotchai
หมดตัว,mot2 tR-1,mottua
หมดตำรา,mot2 tam1 rA-1,mottamra
หมดตูด,mot2 tUt2,mottut
หมดทาง,mot2 TAN1,motthang
หมดทางสู้,mot2 TAN1 sU-3,motthangsu
หมดทางแก้ไข,mot2 TAN1 kY-3 Kaj5,motthangkaekhai
หมดทุกข์,mot2 Tuk4,motthuk
หมดท่า,mot2 TA-3,mottha
หมดบุญ,mot2 bun1,motbun
หมดประตู,mot2 pra-1 tU-1,motpratu
หมดปัญญา,mot2 pan1 jA-1,motpanya
หมดปัญหา,mot2 pan1 hA-5,motpanha
หมดฝีมือ,mot2 fI-5 mV-1,motfimue
หมดพก,mot2 Pok4,motphok
หมดพยศ,mot2 Pa-4 jot4,motphayot
หมดพุง,mot2 PuN1,motphung
หมดภาระ,mot2 PA-1 ra?4,motphara
หมดภูมิ,mot2 PUm1,motphum
หมดยุค,mot2 juk4,motyuk
หมดราคี,mot2 rA-1 KI-1,motrakhi
หมดราศี,mot2 rA-1 sI-5,motrasi
หมดรูป,mot2 rUp3,motrup
หมดฤทธิ์,mot2 rit4,motrit
หมดลม,mot2 lom1,motlom
หมดวาระ,mot2 wA-1 ra?4,motwara
หมดสติ,mot2 sa-1 ti?2,motsati
หมดสนุก,mot2 sa-1 nuk2,motsanuk
หมดสภาพ,mot2 sa-1 PAp3,motsaphap
หมดสมรรถภาพ,mot2 sa-1 mat4 Ta-2 PAp3,motsamatthaphap
หมดสมัย,mot2 sa-1 maj5,motsamai
หมดสัญญา,mot2 san5 jA-1,motsanya
หมดสิ้น,mot2 sin3,motsin
หมดหนทาง,mot2 hon5 TAN1,mothonthang
หมดหวัง,mot2 waN5,motwang
หมดอายุ,mot2 ?A-1 ju?4,motayu
หมดอายุการใช้งาน,mot2 ?A-1 ju?4 kAn1 Caj4 NAn1,motayukanchaingan
หมดอารมณ์,mot2 ?A-1 rom1,motarom
หมดอาลัย,mot2 ?A-1 laj1,motalai
หมดอาลัยตายอยาก,mot2 ?A-1 laj1 tAj1 jAk2,motalaitaiyak
หมดอำนาจ,mot2 ?am1 nAt3,motamnat
หมดเกลี้ยง,mot2 klJN3,motkliang
หมดเขต,mot2 KEt2,motkhet
หมดเคราะห์,mot2 Krx?4,motkhro
หมดเนื้อหมดตัว,mot2 nW-4 mot2 tR-1,motnueamottua
หมดเปลือก,mot2 plWk2,motplueak
หมดเปลือง,mot2 plWN1,motplueang
หมดเวร,mot2 wEn1,motwen
หมดเวรหมดกรรม,mot2 wEn1 mot2 kam1,motwenmotkam
หมดเวลา,mot2 wE-1 lA-1,motwela
หมดแรง,mot2 rYN1,motraeng
หมดโอกาส,mot2 ?O-1 kAt2,motokat
หมดใจ,mot2 caj1,motchai
หมดไส้หมดพุง,mot2 saj3 mot2 PuN1,motsaimotphung
หมวกกะโล่,mRk2 ka-1 lO-3,muakkalo
หมวกแก๊ป,mRk2 kYp4,muakkaep
หมวดหมู่,mRt2 mU-2,muatmu
หมอความ,mX-5 KwAm1,mokhwam
หมองมัว,mXN5 mR-1,mongmua
หมองหมาง,mXN5 mAN5,mongmang
หมองใจ,mXN5 caj1,mongchai
หมอชิต,mX-5 Cit4,mochit
หมอดู,mX-5 dU-1,modu
หมอตำแย,mX-5 tam1 jY-1,motamyae
หมอนข้าง,mXn5 KAN3,monkhang
หมอนวด,mX-5 nRt3,monuat
หมอนอิง,mXn5 ?iN1,moning
หมอบกราบ,mXp2 krAp2,mopkrap
หมอบคลาน,mXp2 KlAn1,mopkhlan
หมอบราบคาบแก้ว,mXp2 rAp3 KAp3 kYw3,moprapkhapkaeo
หมอบลง,mXp2 loN1,moplong
หมอผี,mX-5 PI-5,mophi
หมอผ่าตัด,mX-5 PA-2 tat2,mophatat
หมอฟัน,mX-5 fan1,mofan
หมอยา,mX-5 jA-1,moya
หมอลำ,mX-5 lam1,molam
หมอสอนศาสนา,mX-5 sXn5 sAt2 sa-1 nA-5,mosonsatsana
หมอเสน่ห์,mX-5 sa-1 nE-2,mosane
หมักดอง,mak2 dXN1,makdong
หมักบ่ม,mak2 bom2,makbom
หมักหมม,mak2 mom5,makmom
หมัดสุนัข,mat2 su?2 nak4,matsunak
หมับ ๆ,map2 map2,mapmap
หมั่นโถว,man2 TO-5,mantho
หมั่นไส้,man2 saj3,mansai
หมากฝรั่ง,mAk2 fa-2 raN2,makfarang
หมากมาศ,mAk2 mAt3,makmat
หมากยับ,mAk2 jap4,makyap
หมากรุก,mAk2 ruk4,makruk
หมากลางถนน,mA-5 lAN1 Ta-1 non5,malangthanon
หมากล้อม,mAk2 lXm4,maklom
หมากฮอส,mAk2 hXt3,makhot
หมากเก็บ,mAk2 kep2,makkep
หมากเม็ด,mAk2 met4,makmet
หมากเม่า,mAk2 maw3,makmao
หมากเม่าควาย,mAk2 maw3 KwAj1,makmaokhwai
หมากแยก,mAk2 jYk3,makyaek
หมางเมิน,mAN5 mZn1,mangmoen
หมางใจ,mAN5 caj1,mangchai
หมาจิ้งจอก,mA-5 ciN3 cXk2,machingchok
หมาป่า,mA-5 pA-2,mapa
หมามุ้ย,mA-5 muj4,mamui
หมายกำหนดการ,mAj5 kam1 not2 kAn1,maikamnotkan
หมายขัง,mAj5 KaN5,maikhang
หมายความ,mAj5 KwAm1,maikhwam
หมายความว่า,mAj5 KwAm1 wA-3,maikhwamwa
หมายค้น,mAj5 Kon4,maikhon
หมายจับ,mAj5 cap2,maichap
หมายตา,mAj5 tA-1,maita
หมายถึง,mAj5 TvN5,maithueng
หมายประกาศ,mAj5 pra-1 kAt2,maiprakat
หมายปอง,mAj5 pXN1,maipong
หมายมั่น,mAj5 man3,maiman
หมายมั่นปั้นมือ,mAj5 man3 pan3 mV-1,maimanpanmue
หมายรวม,mAj5 rRm1,mairuam
หมายศาล,mAj5 sAn5,maisan
หมายหน้า,mAj5 nA-3,maina
หมายหัว,mAj5 hR-5,maihua
หมายเกณฑ์,mAj5 kEn1,maiken
หมายเรียก,mAj5 rJk3,mairiak
หมายเลข,mAj5 lEk3,mailek
หมายเหตุ,mAj5 hEt2,maihet
หมายใจ,mAj5 caj1,maichai
หมาหมู่,mA-5 mU-2,mamu
หมาหยอกไก่,mA-5 jXk2 kaj2,mayokkai
หมาหัวเน่า,mA-5 hR-5 naw3,mahuanao
หมาในรางหญ้า,mA-5 naj1 rAN1 jA-3,manairangya
หมิ่นประมาท,min2 pra-1 mAt2,minpramat
หมิ่นพระบรมเดชานุภาพ,min2 Pra-4 bX-1 rom1 ma-4 dE-1 CA-1 nu?4 PAp3,minphraborommadechanuphap
หมิ่นเหม่,min2 me?2,minme
หมีขาว,mI-5 KAw5,mikhao
หมี่หยก,mI-2 jok2,miyok
หมุนตัว,mun5 tR-1,muntua
หมุนติ้ว,mun5 tiw3,muntio
หมุนรอบ,mun5 rXp3,munrop
หมุนเวียน,mun5 wJn1,munwian
หมุบหมิบ,mup2 mip2,mupmip
หมูป่า,mU-5 pA-2,mupa
หมูสามชั้น,mU-5 sAm5 Can4,musamchan
หมูหยอง,mU-5 jXN5,muyong
หมูหัน,mU-5 han5,muhan
หมูแดง,mU-5 dYN1,mudaeng
หมูแผ่น,mU-5 Pyn2,muphaen
หมูแฮม,mU-5 hYm1,muhaem
หมูไปไก่มา,mU-5 paj1 kaj2 mA-1,mupaikaima
หมู่คณะ,mU-2 Ka-4 na?4,mukhana
หมู่ญาติ,mU-2 jAt3,muyat
หมู่นี้,mU-2 nI-4,muni
หมู่บ้าน,mU-2 bAn3,muban
หมู่เกาะ,mU-2 kx?2,muko
หมู่โลหิต,mU-2 lO-1 hit2,mulohit
หมู่ไม้,mU-2 mAj4,mumai
หม่นหมอง,mon2 mXN5,monmong
หม่นไหม้,mon2 maj3,monmai
หม่อมฉัน,mxm2 Can4,momchan
หม่อมราชวงศ์,mXm2 rAt3 Ca-4 woN1,momratchawong
หม่อมหลวง,mXm2 lRN5,momluang
หม่อมเจ้า,mXm2 caw3,momchao
หม้อดิน,mX-3 din1,modin
หม้อน้ำ,mX-3 nAm4,monam
หม้อยา,mX-3 jA-1,moya
หม้อหนู,mX-3 nu-5,monu
หม้อห้อม,mX-3 hXm3,mohom
หม้อแกง,mX-3 kYN1,mokaeng
หม้อแปลง,mX-3 plYN1,moplaeng
หม้อแปลงไฟ,mX-3 plYN1 faj1,moplaengfai
หม้อใหม่,mX-3 maj2,momai
หม้อไฟ,mX-3 faj1,mofai
หยดน้ำ,jot2 nAm4,yotnam
หยดย้อย,jot2 jXj4,yotyoi
หยอกล้อ,jXk2 lX-4,yoklo
หยอกเย้า,jXk2 jAw4,yokyao
หยอดหลุม,jXt2 lum5,yotlum
หยักรั้ง,jak2 raN4,yakrang
หยักศก,jak2 sok2,yaksok
หยักไย่,jak2 jaj3,yakyai
หยัดยืน,jat2 jVn1,yatyuen
หยั่งดูท่าที,jaN2 dU-1 TA-3 TI-1,yangduthathi
หยั่งท่าที,jaN2 TA-3 TI-1,yangthathi
หยั่งราก,jaN2 rAk3,yangrak
หยั่งรู้,jaN2 rU-4,yangru
หยั่งลึก,jaN2 lvk4,yangluek
หยั่งเชิง,jaN2 CZN1,yangchoeng
หยั่งเสียง,jaN2 sJN5,yangsiang
หยาดน้ำค้าง,jAt2 nAm4 KAN4,yatnamkhang
หยาดฝน,jAt2 fon5,yatfon
หยาดเยิ้ม,jAt2 jZm4,yatyoem
หยาดเหงื่อ,jAt2 NW-2,yatnguea
หยาบกระด้าง,jAp2 kra-1 dAN3,yapkradang
หยาบกร้าน,jAp2 krAn3,yapkran
หยาบคาย,jAp2 KAj1,yapkhai
หยาบช้า,jAp2 CA-4,yapcha
หยาบหยาม,jAp2 jAm5,yapyam
หยาบโลน,jAp2 lOn1,yaplon
หยามหน้า,jAm5 nA-3,yamna
หยำเป,jam5 pE-1,yampe
หยิบฉวย,jip2 CRj5,yipchuai
หยิบมือ,jip2 mV-1,yipmue
หยิบมือเดียว,jip2 mV-1 dJw1,yipmuediao
หยิบยก,jip2 jok4,yipyok
หยิบยืม,jip2 jVm1,yipyuem
หยิบยื่น,jip2 jVn3,yipyuen
หยิบหย่ง,jip2 joN2,yipyong
หยิมๆ,jim5 jim5,yimyim
หยิ่งผยอง,jiN2 Pa-1 jXN5,yingphayong
หยิ่งยะโส,jiN2 ja?4 sO-5,yingyaso
หยิ่งยโส,jiN2 ja-4 sO-5,yingyaso
หยุกหยิก,juk2 jik2,yukyik
หยุดกึก,jut2 kvk2,yutkuek
หยุดงาน,jut2 NAn1,yutngan
หยุดชะงัก,jut2 Ca?4 Nak4,yutchangak
หยุดนิ่ง,jut2 niN3,yutning
หยุดพัก,jut2 Pak4,yutphak
หยุดยั้ง,jut2 jaN4,yutyang
หยุดหย่อน,jut2 jxn2,yutyon
หยุมหยิม,jum5 jim5,yumyim
หยูกยา,jUk2 jA-1,yukya
หย็อกหย็อย,jxk2 jxj5,yokyoi
หย่อนยาน,jXn2 jAn1,yonyan
หย่อนอารมณ์,jXn2 ?A-1 rom1,yonarom
หย่อนใจ,jXn2 caj1,yonchai
หย่าขาด,jA-2 KAt2,yakhat
หย่านม,jA-2 nom1,yanom
หย่าร้าง,jA-2 rAN4,yarang
หย่าศึก,jA-2 svk2,yasuek
หรคุณ,hX-5 ra-4 Kun1,horakhun
หรดาล,hX-5 ra-4 dAn1,horadan
หรดี,hX-5 ra-4 dI-1,horadi
หรรษา,han5 sA-5,hansa
หรอมแหรม,rxm5 rym5,romraem
หริภุญชัย,ha-2 ri-4 PUn1 Caj1,hariphunchai
หรี่ตา,rI-2 tA-1,rita
หรือยัง,rV-5 jaN1,rueyang
หรือว่า,rV-5 wA-3,ruewa
หรือเปล่า,rV-5 plAw2,rueplao
หรือไม่,rV-5 maj3,ruemai
หรูหรา,rU-5 rA-5,rura
หร็อมแหร็ม,rxm5 rym5,romraem
หฤทัย,ha-2 rv?4 Taj1,haruethai
หฤหรรษ์,ha-2 ri?4 rXn5,hariron
หฤโหด,ha-2 ri?4 hOt2,harihot
หลงกล,loN5 kon1,longkon
หลงจู๊,loN5 cU-4,longchu
หลงตัวเอง,loN5 tR-1 ?EN1,longtuaeng
หลงตา,loN5 tA-1,longta
หลงทาง,loN5 TAN1,longthang
หลงผิด,loN5 Pit2,longphit
หลงระเริง,loN5 ra?4 rZN1,longraroeng
หลงรัก,loN5 rak4,longrak
หลงลมปาก,loN5 lom1 pAk2,longlompak
หลงหูหลงตา,loN5 hU-5 loN5 tA-1,longhulongta
หลงเชื่อ,loN5 CW-3,longchuea
หลงเสน่ห์,loN5 sa-1 nE-2,longsane
หลงเหลือ,loN5 lW-5,longluea
หลงใหล,loN5 laj5,longlai
หลงใหลได้ปลื้ม,loN5 laj5 daj3 plVm3,longlaidaipluem
หลบฉาก,lop2 CAk2,lopchak
หลบซ่อน,lop2 sXn3,lopson
หลบตา,lop2 tA-1,lopta
หลบภัย,lop2 Paj1,lopphai
หลบมุม,lop2 mum1,lopmum
หลบลี้หนีหน้า,lop2 lI-4 nI-5 nA-3,loplinina
หลบหนี,lop2 nI-5,lopni
หลบหน้า,lop2 nA-3,lopna
หลบหลีก,lop2 lIk2,loplik
หลบหัว,lop2 hR-5,lophua
หลบเลี่ยง,lop2 lJN3,lopliang
หลวงตา,lRN5 tA-1,luangta
หลวงปู่,lRN5 pU-2,luangpu
หลวงพระบาง,lRN5 Pra-4 bAN1,luangphrabang
หลวงพี่,lRN5 PI-3,luangphi
หลวงพ่อ,lRN5 PX-3,luangpho
หลวมตัว,lRm5 tR-1,luamtua
หลวมโพรก,lRm5 PrOk3,luamphrok
หลอกตัวเอง,lXk2 tR-1 ?EN1,loktuaeng
หลอกลวง,lXk2 lRN1,lokluang
หลอกล่อ,lXk2 lX-3,loklo
หลอกหลอน,lXk2 lXn5,loklon
หลอดกาแฟ,lXt2 kA-1 fY-1,lotkafae
หลอดลม,lXt2 lom1,lotlom
หลอดลมอักเสบ,lXt2 lom1 ?ak2 sEp2,lotlomaksep
หลอดอาหาร,lXt2 ?A-1 hAn5,lotahan
หลอดเลือด,lXt2 lWt3,lotlueat
หลอดเลือดดำ,lXt2 lWt3 dam1,lotlueatdam
หลอดไฟ,lXt2 faj1,lotfai
หลอดไฟฟ้า,lXt2 faj1 fA-4,lotfaifa
หลอมละลาย,lXm5 la-4 lAj1,lomlalai
หละหลวม,la?2 lRm5,laluam
หลัก ๆ,lak2 lak2,laklak
หลักการ,lak2 kAn1,lakkan
หลักกิโลเมตร,lak2 ki?2 lO-1 met4,lakkilomet
หลักชัย,lak2 Caj1,lakchai
หลักฐาน,lak2 TAn5,lakthan
หลักฐานทางโบราณคดี,lak2 TAn5 TAN1 bO-1 rAn1 na-4 Ka-4 dI-1,lakthanthangborannakhadi
หลักทรัพย์,lak2 sap4,laksap
หลักธรรม,lak2 Tam1 ma-4,lakthamma
หลักปฏิบัติ,lak2 pa-1 ti?2 bat2,lakpatibat
หลักประกัน,lak2 pra-1 kan1,lakprakan
หลักลอย,lak2 lXj1,lakloi
หลักวิชา,lak2 wi-4 CA-1,lakwicha
หลักสูตร,lak2 sUt2,laksut
หลักหน่วย,lak2 nRj2,laknuai
หลักเกณฑ์,lak2 kEn1,lakken
หลักเมือง,lak2 mWN1,lakmueang
หลักแหลม,lak2 lYm5,laklaem
หลักแหล่ง,lak2 lyN2,laklaeng
หลังคา,laN5 KA-1,langkha
หลังคาเรือน,laN5 KA-1 rWn1,langkharuean
หลังจาก,laN5 cAk2,langchak
หลังจากที่,laN5 cAk2 TI-3,langchakthi
หลังจากนั้น,laN5 cAk2 nan4,langchaknan
หลังจากนี้,laN5 cAk2 nI-4,langchakni
หลังฉาก,laN5 CAk2,langchak
หลังบ้าน,laN5 bAn3,langban
หลังสู้ฟ้าหน้าสู้ดิน,laN5 sU-3 fA-4 nA-3 sU-3 din1,langsufanasudin
หลังเต่า,laN5 taw2,langtao
หลัดๆ,lat2 lat2,latlat
หลับตา,lap2 tA-1,lapta
หลับนก,lap2 nok4,lapnok
หลับนอน,lap2 nXn1,lapnon
หลับสนิท,lap2 sa-1 nit2,lapsanit
หลับใน,lap2 naj1,lapnai
หลับใหล,lap2 laj5,laplai
หลับไหล,lap2 laj5,laplai
หลั่งเลือด,laN2 lWt3,langlueat
หลั่งไหล,laN2 laj5,langlai
หลากหลาย,lAk2 lAj5,laklai
หลากใจ,lAk2 caj1,lakchai
หลานชาย,lAn5 CAj1,lanchai
หลานปู่,lAn5 pU-2,lanpu
หลานสาว,lAn5 sAw5,lansao
หลาบจำ,lAp2 cam1,lapcham
หลายครั้ง,lAj5 KraN4,laikhrang
หลายชนิด,lAj5 Ca-4 nit4,laichanit
หลายปีดีดัก,lAj5 pI-1 dI-1 dak2,laipididak
หลายหลาก,lAj5 lAk2,lailak
หลายอย่าง,lAj5 jAN2,laiyang
หลายเท่า,lAj5 Taw3,laithao
หลายใจ,lAj5 caj1,laichai
หลิ่วตา,liw2 tA-1,liota
หลีกทาง,lIk2 TAN1,likthang
หลีกหนี,lIk2 nI-5,likni
หลีกเลี่ยง,lIk2 lJN3,likliang
หลุกหลิก,luk2 lik2,luklik
หลุดปาก,lut2 pAk2,lutpak
หลุดพ้น,lut2 Pon4,lutphon
หลุดมือ,lut2 mV-1,lutmue
หลุดลอย,lut2 lXj1,lutloi
หลุดลุ่ย,lut2 luj3,lutlui
หลุดโลก,lut2 lOk3,lutlok
หลุน ๆ,lun5 lun5,lunlun
หลุนๆ,lun5 lun5,lunlun
หลุมดำ,lum5 dam1,lumdam
หลุมฝังศพ,lum5 faN5 sop2,lumfangsop
หลุมพราง,lum5 PrAN1,lumphrang
หลุมพอ,lum5 PX-1,lumpho
หลุมศพ,lum5 sop2,lumsop
หลุมหลบภัย,lum5 lop2 Paj1,lumlopphai
หลุมอากาศ,lum5 ?A-1 kAt2,lumakat
หล่มสัก,lom2 sak2,lomsak
หล่อลื่น,lX-2 lVn3,loluen
หล่อหลอม,lX-2 lXm5,lolom
หล่อเลี้ยง,lX-2 lJN4,loliang
หล่อเหลา,lX-2 law5,lolao
หวงตัว,hRN5 tR-1,huangtua
หวงห้าม,hRN5 hAm3,huangham
หวงแหน,hRN5 hYn5,huanghaen
หวนกลับ,hRn5 klap2,huanklap
หวนคิด,hRn5 Kit4,huankhit
หวนคืน,hRn5 KVn1,huankhuen
หวนนึก,hRn5 nvk4,huannuek
หวยเถื่อน,hRj5 TWn2,huaithuean
หวยเบอร์,hRj5 bZ-1,huaiboe
หวยใต้ดิน,hRj5 taj3 din1,huaitaidin
หวังดี,waN5 dI-1,wangdi
หวังผล,waN5 Pon5,wangphon
หวั่นวิตก,wan2 wi?4 tok2,wanwitok
หวั่นหวาด,wan2 wAt2,wanwat
หวั่นเกรง,wan2 krEN1,wankreng
